,PP,C,timestamp,HR,RMSSD,SCL,date,subject,label,Condition,ElapsedTime
0,PP1,1,20120918T131600000,,,80.239727,2012-09-18 13:16:00,p1,rest,R,0
1,PP1,1,20120918T131700000,61,0.06142,77.365127,2012-09-18 13:17:00,p1,rest,R,1
2,PP1,1,20120918T131800000,64,0.049663,77.359559,2012-09-18 13:18:00,p1,rest,R,2
3,PP1,1,20120918T131900000,60,0.052487,76.728772,2012-09-18 13:19:00,p1,rest,R,3
4,PP1,1,20120918T132000000,61,0.051189,76.512877,2012-09-18 13:20:00,p1,rest,R,4
5,PP1,1,20120918T132100000,65,0.037098,76.873877,2012-09-18 13:21:00,p1,rest,R,5
6,PP1,1,20120918T132600000,69,0.044294,68.21287,2012-09-18 13:26:00,p1,no stress,N,10
7,PP1,1,20120918T132700000,74,0.037915,67.145289,2012-09-18 13:27:00,p1,no stress,N,11
8,PP1,1,20120918T132800000,65,0.066091,67.248375,2012-09-18 13:28:00,p1,no stress,N,12
9,PP1,1,20120918T132900000,67,0.045529,65.998403,2012-09-18 13:29:00,p1,no stress,N,13
10,PP1,1,20120918T133000000,70,0.042963,66.27938,2012-09-18 13:30:00,p1,no stress,N,14
11,PP1,1,20120918T133100000,69,0.05259,67.702527,2012-09-18 13:31:00,p1,no stress,N,15
12,PP1,1,20120918T133200000,68,0.052944,66.217699,2012-09-18 13:32:00,p1,no stress,N,16
13,PP1,1,20120918T133300000,66,0.05016,67.625462,2012-09-18 13:33:00,p1,no stress,N,17
14,PP1,1,20120918T133400000,66,0.034505,66.731162,2012-09-18 13:34:00,p1,no stress,N,18
15,PP1,1,20120918T133500000,70,0.042028,67.267059,2012-09-18 13:35:00,p1,no stress,N,19
16,PP1,1,20120918T133600000,65,0.042229,68.164472,2012-09-18 13:36:00,p1,no stress,N,20
17,PP1,1,20120918T133700000,65,0.052145,68.173421,2012-09-18 13:37:00,p1,no stress,N,21
18,PP1,1,20120918T133800000,66,0.054648,67.38317,2012-09-18 13:38:00,p1,no stress,N,22
19,PP1,1,20120918T133900000,67,0.051748,65.251621,2012-09-18 13:39:00,p1,no stress,N,23
20,PP1,1,20120918T134000000,69,0.05049,64.253475,2012-09-18 13:40:00,p1,no stress,N,24
21,PP1,1,20120918T134100000,69,0.031853,63.697593,2012-09-18 13:41:00,p1,no stress,N,25
22,PP1,1,20120918T134200000,67,0.041906,63.475775,2012-09-18 13:42:00,p1,no stress,N,26
23,PP1,1,20120918T134300000,69,0.046488,64.199901,2012-09-18 13:43:00,p1,no stress,N,27
24,PP1,1,20120918T134400000,67,0.029738,63.23822,2012-09-18 13:44:00,p1,no stress,N,28
25,PP1,1,20120918T134500000,69,0.035878,63.793363,2012-09-18 13:45:00,p1,no stress,N,29
26,PP1,1,20120918T134600000,71,0.030761,63.158369,2012-09-18 13:46:00,p1,no stress,N,30
27,PP1,1,20120918T134700000,67,0.036038,62.132903,2012-09-18 13:47:00,p1,no stress,N,31
28,PP1,1,20120918T134800000,67,0.047385,63.439268,2012-09-18 13:48:00,p1,no stress,N,32
29,PP1,1,20120918T134900000,65,0.14202,62.754529,2012-09-18 13:49:00,p1,no stress,N,33
30,PP1,1,20120918T135000000,67,0.082444,61.584872,2012-09-18 13:50:00,p1,no stress,N,34
31,PP1,1,20120918T135100000,,,62.913549,2012-09-18 13:51:00,p1,no stress,N,35
32,PP1,1,20120918T135200000,70,0.038178,63.205819,2012-09-18 13:52:00,p1,no stress,N,36
33,PP1,1,20120918T135300000,68,0.098728,62.136688,2012-09-18 13:53:00,p1,no stress,N,37
34,PP1,1,20120918T135400000,72,0.07129,61.536467,2012-09-18 13:54:00,p1,no stress,N,38
35,PP1,1,20120918T135500000,,,61.698506,2012-09-18 13:55:00,p1,no stress,N,39
36,PP1,1,20120918T135600000,70,0.05405,61.120339,2012-09-18 13:56:00,p1,no stress,N,40
37,PP1,1,20120918T135700000,67,0.130551,59.235228,2012-09-18 13:57:00,p1,no stress,N,41
38,PP1,1,20120918T135800000,67,0.058058,59.765614,2012-09-18 13:58:00,p1,no stress,N,42
39,PP1,1,20120918T135900000,65,0.065126,58.937163,2012-09-18 13:59:00,p1,no stress,N,43
40,PP1,1,20120918T140000000,68,0.032421,59.538086,2012-09-18 14:00:00,p1,no stress,N,44
41,PP1,1,20120918T140100000,72,0.038555,59.609233,2012-09-18 14:01:00,p1,no stress,N,45
42,PP1,1,20120918T140200000,64,0.027514,57.97461,2012-09-18 14:02:00,p1,no stress,N,46
43,PP1,1,20120918T140300000,67,0.030465,59.749963,2012-09-18 14:03:00,p1,no stress,N,47
44,PP1,1,20120918T140400000,66,0.03956,60.195209,2012-09-18 14:04:00,p1,no stress,N,48
45,PP1,1,20120918T140500000,64,0.06451,59.180433,2012-09-18 14:05:00,p1,no stress,N,49
46,PP1,1,20120918T140600000,63,0.153955,59.405891,2012-09-18 14:06:00,p1,no stress,N,50
47,PP1,1,20120918T140700000,64,0.047745,60.155477,2012-09-18 14:07:00,p1,no stress,N,51
48,PP1,2,20120918T142800000,,,62.686665,2012-09-18 14:28:00,p1,rest,R,72
49,PP1,2,20120918T142900000,,,67.410764,2012-09-18 14:29:00,p1,rest,R,73
50,PP1,2,20120918T143000000,,,68.456016,2012-09-18 14:30:00,p1,rest,R,74
51,PP1,2,20120918T143100000,,,61.924602,2012-09-18 14:31:00,p1,rest,R,75
52,PP1,2,20120918T143200000,,,62.553652,2012-09-18 14:32:00,p1,rest,R,76
53,PP1,2,20120918T143300000,,,66.048272,2012-09-18 14:33:00,p1,rest,R,77
54,PP1,2,20120918T143600000,65,0.031021,62.716422,2012-09-18 14:36:00,p1,time pressure,T,80
55,PP1,2,20120918T143700000,66,0.096601,62.367833,2012-09-18 14:37:00,p1,time pressure,T,81
56,PP1,2,20120918T143800000,63,0.060822,62.417151,2012-09-18 14:38:00,p1,time pressure,T,82
57,PP1,2,20120918T143900000,66,0.036781,60.431061,2012-09-18 14:39:00,p1,time pressure,T,83
58,PP1,2,20120918T144000000,67,0.02108,60.43059,2012-09-18 14:40:00,p1,time pressure,T,84
59,PP1,2,20120918T144100000,64,0.044939,61.105801,2012-09-18 14:41:00,p1,time pressure,T,85
60,PP1,2,20120918T144200000,66,0.044271,60.569495,2012-09-18 14:42:00,p1,time pressure,T,86
61,PP1,2,20120918T144300000,63,0.041425,60.98637,2012-09-18 14:43:00,p1,time pressure,T,87
62,PP1,2,20120918T144400000,65,0.04585,62.110854,2012-09-18 14:44:00,p1,time pressure,T,88
63,PP1,2,20120918T144500000,,,60.181237,2012-09-18 14:45:00,p1,time pressure,T,89
64,PP1,2,20120918T144600000,63,0.036392,60.799698,2012-09-18 14:46:00,p1,time pressure,T,90
65,PP1,2,20120918T144700000,64,0.044654,61.294046,2012-09-18 14:47:00,p1,time pressure,T,91
66,PP1,2,20120918T144800000,62,0.039849,62.020273,2012-09-18 14:48:00,p1,time pressure,T,92
67,PP1,2,20120918T144900000,65,0.038433,63.408377,2012-09-18 14:49:00,p1,time pressure,T,93
68,PP1,2,20120918T145000000,62,0.074214,63.676875,2012-09-18 14:50:00,p1,time pressure,T,94
69,PP1,2,20120918T145100000,62,0.046152,63.856276,2012-09-18 14:51:00,p1,time pressure,T,95
70,PP1,2,20120918T145200000,65,0.063123,63.627719,2012-09-18 14:52:00,p1,time pressure,T,96
71,PP1,2,20120918T145300000,62,0.047387,64.164839,2012-09-18 14:53:00,p1,time pressure,T,97
72,PP1,2,20120918T145400000,71,0.032866,63.175696,2012-09-18 14:54:00,p1,time pressure,T,98
73,PP1,2,20120918T145500000,65,0.048127,59.996933,2012-09-18 14:55:00,p1,time pressure,T,99
74,PP1,2,20120918T145600000,60,0.042053,61.985641,2012-09-18 14:56:00,p1,time pressure,T,100
75,PP1,2,20120918T145700000,62,0.054897,64.477568,2012-09-18 14:57:00,p1,time pressure,T,101
76,PP1,2,20120918T145800000,69,0.038843,64.559337,2012-09-18 14:58:00,p1,time pressure,T,102
77,PP1,2,20120918T145900000,67,0.048483,65.103271,2012-09-18 14:59:00,p1,time pressure,T,103
78,PP1,2,20120918T150000000,,,63.516815,2012-09-18 15:00:00,p1,time pressure,T,104
79,PP1,2,20120918T150100000,,,,2012-09-18 15:01:00,p1,time pressure,T,105
80,PP1,2,20120918T150200000,,,,2012-09-18 15:02:00,p1,time pressure,T,106
81,PP1,3,20120918T152300000,,,71.150267,2012-09-18 15:23:00,p1,rest,R,127
82,PP1,3,20120918T152400000,,,70.318304,2012-09-18 15:24:00,p1,rest,R,128
83,PP1,3,20120918T152500000,,,71.15794,2012-09-18 15:25:00,p1,rest,R,129
84,PP1,3,20120918T152600000,,,72.164352,2012-09-18 15:26:00,p1,rest,R,130
85,PP1,3,20120918T152700000,,,72.978689,2012-09-18 15:27:00,p1,rest,R,131
86,PP1,3,20120918T152800000,,,74.310303,2012-09-18 15:28:00,p1,rest,R,132
87,PP1,3,20120918T153300000,,,70.144554,2012-09-18 15:33:00,p1,interruption,I,137
88,PP1,3,20120918T153400000,,,70.335761,2012-09-18 15:34:00,p1,interruption,I,138
89,PP1,3,20120918T153500000,60,0.181799,70.614435,2012-09-18 15:35:00,p1,interruption,I,139
90,PP1,3,20120918T153600000,58,0.057015,71.673855,2012-09-18 15:36:00,p1,interruption,I,140
91,PP1,3,20120918T153700000,,,70.787928,2012-09-18 15:37:00,p1,interruption,I,141
92,PP1,3,20120918T153800000,62,0.032067,68.076179,2012-09-18 15:38:00,p1,interruption,I,142
93,PP1,3,20120918T153900000,68,0.044335,64.350908,2012-09-18 15:39:00,p1,interruption,I,143
94,PP1,3,20120918T154000000,,,62.464875,2012-09-18 15:40:00,p1,interruption,I,144
95,PP1,3,20120918T154100000,,,63.86132,2012-09-18 15:41:00,p1,interruption,I,145
96,PP1,3,20120918T154200000,61,0.123104,64.676352,2012-09-18 15:42:00,p1,interruption,I,146
97,PP1,3,20120918T154300000,60,0.139942,66.843593,2012-09-18 15:43:00,p1,interruption,I,147
98,PP1,3,20120918T154400000,58,0.161088,66.915312,2012-09-18 15:44:00,p1,interruption,I,148
99,PP1,3,20120918T154500000,,,66.993242,2012-09-18 15:45:00,p1,interruption,I,149
100,PP1,3,20120918T154600000,62,0.20475,66.109096,2012-09-18 15:46:00,p1,interruption,I,150
101,PP1,3,20120918T154700000,,,67.068278,2012-09-18 15:47:00,p1,interruption,I,151
102,PP1,3,20120918T154800000,,,67.506093,2012-09-18 15:48:00,p1,interruption,I,152
103,PP1,3,20120918T154900000,,,67.693506,2012-09-18 15:49:00,p1,interruption,I,153
104,PP1,3,20120918T155000000,,,68.662991,2012-09-18 15:50:00,p1,interruption,I,154
105,PP1,3,20120918T155100000,,,68.040959,2012-09-18 15:51:00,p1,interruption,I,155
106,PP1,3,20120918T155200000,61,0.120737,67.198951,2012-09-18 15:52:00,p1,interruption,I,156
107,PP1,3,20120918T155300000,,,65.846855,2012-09-18 15:53:00,p1,interruption,I,157
108,PP1,3,20120918T155400000,,,66.791607,2012-09-18 15:54:00,p1,interruption,I,158
109,PP1,3,20120918T155500000,,,68.926311,2012-09-18 15:55:00,p1,interruption,I,159
110,PP1,3,20120918T155600000,,,70.012469,2012-09-18 15:56:00,p1,interruption,I,160
111,PP1,3,20120918T155700000,62,0.131125,70.501724,2012-09-18 15:57:00,p1,interruption,I,161
112,PP1,3,20120918T155800000,66,0.037924,71.752483,2012-09-18 15:58:00,p1,interruption,I,162
113,PP1,3,20120918T155900000,62,0.039196,70.450376,2012-09-18 15:59:00,p1,interruption,I,163
114,PP1,3,20120918T160000000,70,0.051239,67.110184,2012-09-18 16:00:00,p1,interruption,I,164
115,PP1,3,20120918T160100000,64,0.126579,67.15876,2012-09-18 16:01:00,p1,interruption,I,165
116,PP1,3,20120918T160200000,62,0.05582,69.4105,2012-09-18 16:02:00,p1,interruption,I,166
117,PP1,3,20120918T160300000,64,0.061607,71.063413,2012-09-18 16:03:00,p1,interruption,I,167
118,PP1,3,20120918T160400000,68,0.044639,65.030928,2012-09-18 16:04:00,p1,interruption,I,168
119,PP1,3,20120918T160500000,63,0.048643,63.663495,2012-09-18 16:05:00,p1,interruption,I,169
120,PP1,3,20120918T160600000,67,0.049109,65.423209,2012-09-18 16:06:00,p1,interruption,I,170
121,PP1,3,20120918T160700000,62,0.058354,65.508794,2012-09-18 16:07:00,p1,interruption,I,171
122,PP1,3,20120918T160800000,68,0.04791,65.385825,2012-09-18 16:08:00,p1,interruption,I,172
123,PP1,3,20120918T160900000,65,0.046271,65.538775,2012-09-18 16:09:00,p1,interruption,I,173
124,PP1,3,20120918T161000000,65,0.056532,66.148182,2012-09-18 16:10:00,p1,interruption,I,174
125,PP1,3,20120918T161100000,63,0.05471,65.460426,2012-09-18 16:11:00,p1,interruption,I,175
126,PP1,3,20120918T161200000,,,66.69031,2012-09-18 16:12:00,p1,interruption,I,176
127,PP1,3,20120918T161300000,63,0.049588,65.906614,2012-09-18 16:13:00,p1,interruption,I,177
128,PP1,3,20120918T161400000,61,0.051008,66.168921,2012-09-18 16:14:00,p1,interruption,I,178
