,PP,C,timestamp,HR,RMSSD,SCL,date,subject,label,Condition,ElapsedTime
506,PP5,1,20120926T092700000,,,83.441157,2012-09-26 09:27:00,p5,rest,R,0
507,PP5,1,20120926T092800000,77,0.03842,94.800228,2012-09-26 09:28:00,p5,rest,R,1
508,PP5,1,20120926T092900000,76,0.103118,94.900705,2012-09-26 09:29:00,p5,rest,R,2
509,PP5,1,20120926T093000000,,,100.705239,2012-09-26 09:30:00,p5,rest,R,3
510,PP5,1,20120926T093100000,80,0.096862,99.571368,2012-09-26 09:31:00,p5,rest,R,4
511,PP5,1,20120926T093200000,79,0.068795,95.008606,2012-09-26 09:32:00,p5,rest,R,5
512,PP5,1,20120926T093700000,75,0.056179,75.892247,2012-09-26 09:37:00,p5,no stress,N,10
513,PP5,1,20120926T093800000,77,0.04458,84.424249,2012-09-26 09:38:00,p5,no stress,N,11
514,PP5,1,20120926T093900000,73,0.049949,86.532875,2012-09-26 09:39:00,p5,no stress,N,12
515,PP5,1,20120926T094000000,74,0.047436,87.111179,2012-09-26 09:40:00,p5,no stress,N,13
516,PP5,1,20120926T094100000,70,0.064416,94.094843,2012-09-26 09:41:00,p5,no stress,N,14
517,PP5,1,20120926T094200000,77,0.046129,102.268859,2012-09-26 09:42:00,p5,no stress,N,15
518,PP5,1,20120926T094300000,75,0.04434,107.209795,2012-09-26 09:43:00,p5,no stress,N,16
519,PP5,1,20120926T094400000,,,99.365034,2012-09-26 09:44:00,p5,no stress,N,17
520,PP5,1,20120926T094500000,77,0.057932,84.26718,2012-09-26 09:45:00,p5,no stress,N,18
521,PP5,1,20120926T094600000,74,0.037546,89.783206,2012-09-26 09:46:00,p5,no stress,N,19
522,PP5,1,20120926T094700000,75,0.065787,94.41183,2012-09-26 09:47:00,p5,no stress,N,20
523,PP5,1,20120926T094800000,,,82.542043,2012-09-26 09:48:00,p5,no stress,N,21
524,PP5,1,20120926T094900000,75,0.043185,88.494953,2012-09-26 09:49:00,p5,no stress,N,22
525,PP5,1,20120926T095000000,78,0.040267,92.881225,2012-09-26 09:50:00,p5,no stress,N,23
526,PP5,1,20120926T095100000,77,0.071964,92.419752,2012-09-26 09:51:00,p5,no stress,N,24
527,PP5,1,20120926T095200000,78,0.077769,90.148782,2012-09-26 09:52:00,p5,no stress,N,25
528,PP5,1,20120926T095300000,77,0.052979,94.085271,2012-09-26 09:53:00,p5,no stress,N,26
529,PP5,1,20120926T095400000,72,0.041117,96.368037,2012-09-26 09:54:00,p5,no stress,N,27
530,PP5,1,20120926T095500000,79,0.038864,101.840783,2012-09-26 09:55:00,p5,no stress,N,28
531,PP5,1,20120926T095600000,79,0.049155,99.626071,2012-09-26 09:56:00,p5,no stress,N,29
532,PP5,1,20120926T095700000,79,0.059951,93.348698,2012-09-26 09:57:00,p5,no stress,N,30
533,PP5,1,20120926T095800000,75,0.048136,92.281111,2012-09-26 09:58:00,p5,no stress,N,31
534,PP5,1,20120926T095900000,76,0.036122,95.512037,2012-09-26 09:59:00,p5,no stress,N,32
535,PP5,1,20120926T100000000,,,91.042011,2012-09-26 10:00:00,p5,no stress,N,33
536,PP5,1,20120926T100100000,,,91.794664,2012-09-26 10:01:00,p5,no stress,N,34
537,PP5,1,20120926T100200000,,,97.185195,2012-09-26 10:02:00,p5,no stress,N,35
538,PP5,1,20120926T100300000,,,100.042416,2012-09-26 10:03:00,p5,no stress,N,36
539,PP5,1,20120926T100400000,,,96.886919,2012-09-26 10:04:00,p5,no stress,N,37
540,PP5,1,20120926T100500000,74,0.041927,98.442781,2012-09-26 10:05:00,p5,no stress,N,38
541,PP5,1,20120926T100600000,,,100.952766,2012-09-26 10:06:00,p5,no stress,N,39
542,PP5,1,20120926T100700000,,,94.344118,2012-09-26 10:07:00,p5,no stress,N,40
543,PP5,1,20120926T100800000,,,89.194906,2012-09-26 10:08:00,p5,no stress,N,41
544,PP5,1,20120926T100900000,74,0.123411,92.151124,2012-09-26 10:09:00,p5,no stress,N,42
545,PP5,1,20120926T101000000,,,97.675222,2012-09-26 10:10:00,p5,no stress,N,43
546,PP5,1,20120926T101100000,,,100.729186,2012-09-26 10:11:00,p5,no stress,N,44
547,PP5,1,20120926T101200000,,,94.131055,2012-09-26 10:12:00,p5,no stress,N,45
548,PP5,1,20120926T101300000,,,93.666732,2012-09-26 10:13:00,p5,no stress,N,46
549,PP5,1,20120926T101400000,,,93.77966,2012-09-26 10:14:00,p5,no stress,N,47
550,PP5,1,20120926T101500000,,,94.972965,2012-09-26 10:15:00,p5,no stress,N,48
551,PP5,1,20120926T101600000,72,0.110142,90.028871,2012-09-26 10:16:00,p5,no stress,N,49
552,PP5,2,20120926T103100000,62,0.095363,90.152657,2012-09-26 10:31:00,p5,rest,R,64
553,PP5,2,20120926T103200000,62,0.082132,90.8908,2012-09-26 10:32:00,p5,rest,R,65
554,PP5,2,20120926T103300000,61,0.062472,92.347897,2012-09-26 10:33:00,p5,rest,R,66
555,PP5,2,20120926T103400000,67,0.059219,90.945711,2012-09-26 10:34:00,p5,rest,R,67
556,PP5,2,20120926T103500000,65,0.081511,90.853877,2012-09-26 10:35:00,p5,rest,R,68
557,PP5,2,20120926T103600000,62,0.063927,91.433896,2012-09-26 10:36:00,p5,rest,R,69
558,PP5,2,20120926T103900000,67,0.052305,82.418458,2012-09-26 10:39:00,p5,time pressure,T,72
559,PP5,2,20120926T104000000,68,0.054058,83.873072,2012-09-26 10:40:00,p5,time pressure,T,73
560,PP5,2,20120926T104100000,,,83.935981,2012-09-26 10:41:00,p5,time pressure,T,74
561,PP5,2,20120926T104200000,,,90.202961,2012-09-26 10:42:00,p5,time pressure,T,75
562,PP5,2,20120926T104300000,,,90.640252,2012-09-26 10:43:00,p5,time pressure,T,76
563,PP5,2,20120926T104400000,,,95.097093,2012-09-26 10:44:00,p5,time pressure,T,77
564,PP5,2,20120926T104500000,,,95.848485,2012-09-26 10:45:00,p5,time pressure,T,78
565,PP5,2,20120926T104600000,,,92.597624,2012-09-26 10:46:00,p5,time pressure,T,79
566,PP5,2,20120926T104700000,,,90.659353,2012-09-26 10:47:00,p5,time pressure,T,80
567,PP5,2,20120926T104800000,,,88.062721,2012-09-26 10:48:00,p5,time pressure,T,81
568,PP5,2,20120926T104900000,,,86.519335,2012-09-26 10:49:00,p5,time pressure,T,82
569,PP5,2,20120926T105000000,,,89.6301,2012-09-26 10:50:00,p5,time pressure,T,83
570,PP5,2,20120926T105100000,,,89.130667,2012-09-26 10:51:00,p5,time pressure,T,84
571,PP5,2,20120926T105200000,,,93.347815,2012-09-26 10:52:00,p5,time pressure,T,85
572,PP5,2,20120926T105300000,,,90.164202,2012-09-26 10:53:00,p5,time pressure,T,86
573,PP5,2,20120926T105400000,,,88.448877,2012-09-26 10:54:00,p5,time pressure,T,87
574,PP5,2,20120926T105500000,,,89.470306,2012-09-26 10:55:00,p5,time pressure,T,88
575,PP5,2,20120926T105600000,,,,2012-09-26 10:56:00,p5,time pressure,T,89
576,PP5,2,20120926T105700000,,,,2012-09-26 10:57:00,p5,time pressure,T,90
577,PP5,2,20120926T105800000,,,,2012-09-26 10:58:00,p5,time pressure,T,91
578,PP5,2,20120926T105900000,,,,2012-09-26 10:59:00,p5,time pressure,T,92
579,PP5,2,20120926T110000000,,,,2012-09-26 11:00:00,p5,time pressure,T,93
580,PP5,2,20120926T110100000,,,,2012-09-26 11:01:00,p5,time pressure,T,94
581,PP5,2,20120926T110200000,,,,2012-09-26 11:02:00,p5,time pressure,T,95
582,PP5,2,20120926T110300000,,,,2012-09-26 11:03:00,p5,time pressure,T,96
583,PP5,2,20120926T110400000,,,,2012-09-26 11:04:00,p5,time pressure,T,97
584,PP5,2,20120926T110500000,,,,2012-09-26 11:05:00,p5,time pressure,T,98
585,PP5,3,20120926T111800000,,,87.693018,2012-09-26 11:18:00,p5,rest,R,111
586,PP5,3,20120926T111900000,,,90.69539,2012-09-26 11:19:00,p5,rest,R,112
587,PP5,3,20120926T112000000,,,92.233644,2012-09-26 11:20:00,p5,rest,R,113
588,PP5,3,20120926T112100000,,,93.478841,2012-09-26 11:21:00,p5,rest,R,114
589,PP5,3,20120926T112200000,,,92.493674,2012-09-26 11:22:00,p5,rest,R,115
590,PP5,3,20120926T112300000,,,93.016685,2012-09-26 11:23:00,p5,rest,R,116
591,PP5,3,20120926T112600000,,,86.505692,2012-09-26 11:26:00,p5,interruption,I,119
592,PP5,3,20120926T112700000,65,0.043201,91.141181,2012-09-26 11:27:00,p5,interruption,I,120
